# EoS format: energy density (fm^-4), pressure (fm^-4), number density (fm^-3), chemical potential (MeV), nan, cs2 (speed of sound squared), phase
epsilon,p,n,mu,col4,cs2,phase
7.468068811497959e-12,5.474421952600592e-18,9.969234572832067e-12,307.96310724642683,0,0,Hadronic
7.486474443984302e-12,5.4955964933798335e-18,9.993804180678083e-12,307.9631180665435,0,0,Hadronic
7.504951267697594e-12,5.516852935258605e-18,1.0018468819681983e-11,307.96312892851125,0,0,Hadronic
7.523499557998734e-12,5.538191595022571e-18,1.0043228857401781e-11,307.9631398324922,0,0,Hadronic
7.542119591313614e-12,5.55961279068261e-18,1.006808466281699e-11,307.9631507786486,0,0,Hadronic
7.560811645137318e-12,5.58111684147964e-18,1.0093036606334175e-11,307.9631617671437,0,0,Hadronic
7.579575998038324e-12,5.602704067889451e-18,1.0118085059792604e-11,307.9631727981412,0,0,Hadronic
7.598412929662587e-12,5.624374791627398e-18,1.0143230396469663e-11,307.96318387180565,0,0,Hadronic
7.617322720737637e-12,5.6461293356531284e-18,1.0168472991086353e-11,307.96319498830195,0,0,Hadronic
7.636305653076862e-12,5.667968024175501e-18,1.019381321981298e-11,307.96320614779574,0,0,Hadronic
7.655362009583646e-12,5.6898911826573435e-18,1.0219251460274703e-11,307.9632173504535,0,0,Hadronic
7.674492074255686e-12,5.7118991378204244e-18,1.0244788091557271e-11,307.9632285964419,0,0,Hadronic
7.693696132189153e-12,5.733992217650244e-18,1.0270423494212588e-11,307.96323988592883,0,0,Hadronic
7.712974469582834e-12,5.756170751400791e-18,1.0296158050264252e-11,307.96325121908234,0,0,Hadronic
7.732327373742623e-12,5.778435069599704e-18,1.0321992143213517e-11,307.96326259607144,0,0,Hadronic
7.751755133085676e-12,5.800785504053069e-18,1.034792615804487e-11,307.9632740170657,0,0,Hadronic
7.771258037144615e-12,5.823222387850244e-18,1.0373960481231623e-11,307.9632854822352,0,0,Hadronic
7.790836376572086e-12,5.8457460553691095e-18,1.0400095500742002e-11,307.96329699175095,0,0,Hadronic
7.810490443144812e-12,5.868356842280722e-18,1.0426331606044553e-11,307.96330854578434,0,0,Hadronic
7.83022052976823e-12,5.891055085554647e-18,1.0452669188114334e-11,307.96332014450763,0,0,Hadronic
7.850026930480585e-12,5.913841123463691e-18,1.0479108639438375e-11,307.96333178809374,0,0,Hadronic
7.869909940457445e-12,5.93671529558907e-18,1.0505650354021703e-11,307.96334347671603,0,0,Hadronic
7.889869856016158e-12,5.959677942825548e-18,1.0532294727393288e-11,307.9633552105489,0,0,Hadronic
7.909906974620199e-12,5.982729407386439e-18,1.0559042156611861e-11,307.96336698976705,0,0,Hadronic
7.930021594883489e-12,6.005870032808579e-18,1.0585893040271642e-11,307.9633788145461,0,0,Hadronic
7.95021401657512e-12,6.029100163957742e-18,1.0612847778508691e-11,307.9633906850623,0,0,Hadronic
7.970484540623495e-12,6.052420147033436e-18,1.0639906773006388e-11,307.9634026014924,0,0,Hadronic
7.99083346912115e-12,6.07583032957441e-18,1.0667070427001906e-11,307.9634145640142,0,0,Hadronic
8.011261105328912e-12,6.099331060463488e-18,1.0694339145291733e-11,307.96342657280593,0,0,Hadronic
8.031767753680764e-12,6.12292268993311e-18,1.0721713334238178e-11,307.96343862804645,0,0,Hadronic
8.052353719788083e-12,6.1466055695702515e-18,1.0749193401775021e-11,307.96345072991556,0,0,Hadronic
8.073019310444334e-12,6.170380052321797e-18,1.0776779757413777e-11,307.9634628785935,0,0,Hadronic
8.093764833629727e-12,6.19424649249992e-18,1.0804472812249926e-11,307.96347507426134,0,0,Hadronic
8.114590598515575e-12,6.21820524578707e-18,1.0832272978968694e-11,307.9634873171009,0,0,Hadronic
8.135496915469137e-12,6.242256669241571e-18,1.0860180671851552e-11,307.9634996072945,0,0,Hadronic
8.156484096058154e-12,6.266401121302815e-18,1.0888196306782252e-11,307.9635119450255,0,0,Hadronic
8.177552453055357e-12,6.290638961796473e-18,1.0916320301252844e-11,307.96352433047764,0,0,Hadronic
8.19870230044341e-12,6.314970551940162e-18,1.0944553074370269e-11,307.9635367638355,0,0,Hadronic
8.219933953419278e-12,6.3393962543484766e-18,1.0972895046862204e-11,307.9635492452844,0,0,Hadronic
8.241247728399191e-12,6.363916433038704e-18,1.1001346641083663e-11,307.9635617750104,0,0,Hadronic
8.262643943023258e-12,6.388531453436117e-18,1.1029908281023171e-11,307.96357435320016,0,0,Hadronic
8.284122916160094e-12,6.4132416823793285e-18,1.1058580392308936e-11,307.96358698004116,0,0,Hadronic
8.305684967911674e-12,6.4380474881258444e-18,1.108736340221532e-11,307.96359965572157,0,0,Hadronic
8.327330419618225e-12,6.4629492403576945e-18,1.1116257739669371e-11,307.9636123804303,0,0,Hadronic
8.349059593862711e-12,6.487947310186622e-18,1.1145263835256819e-11,307.9636251543569,0,0,Hadronic
8.370872814475994e-12,6.513042070159976e-18,1.1174382121228936e-11,307.963637977692,0,0,Hadronic
8.392770406541315e-12,6.538233894265899e-18,1.1203613031508548e-11,307.9636508506264,0,0,Hadronic
8.414752696399414e-12,6.563523157939223e-18,1.123295700169684e-11,307.9636637733521,0,0,Hadronic
8.436820011653303e-12,6.588910238066928e-18,1.1262414469079741e-11,307.9636767460617,0,0,Hadronic
8.458972681173047e-12,6.614395512993661e-18,1.1291985872634308e-11,307.9636897689485,0,0,Hadronic
8.481211035100744e-12,6.6399793625274704e-18,1.1321671653035352e-11,307.96370284220654,0,0,Hadronic
8.503535404855531e-12,6.665662167945559e-18,1.1351472252662135e-11,307.96371596603075,0,0,Hadronic
8.525946123138492e-12,6.691444311999925e-18,1.1381388115604918e-11,307.9637291406166,0,0,Hadronic
8.548443523937308e-12,6.717326178922726e-18,1.1411419687671157e-11,307.9637423661605,0,0,Hadronic
8.571027942531756e-12,6.7433081544325786e-18,1.1441567416392852e-11,307.96375564285955,0,0,Hadronic
8.593699715498382e-12,6.769390625739974e-18,1.1471831751032773e-11,307.9637689709116,0,0,Hadronic
8.616459180715466e-12,6.7955739815529575e-18,1.1502213142591095e-11,307.9637823505153,0,0,Hadronic
8.639306677368338e-12,6.8218586120832465e-18,1.1532712043812485e-11,307.96379578187003,0,0,Hadronic
8.662242545954091e-12,6.848244909051671e-18,1.1563328909192386e-11,307.96380926517594,0,0,Hadronic
8.685267128286954e-12,6.874733265694341e-18,1.1594064194984212e-11,307.963822800634,0,0,Hadronic
8.70838076750326e-12,6.9013240767683706e-18,1.162491835920594e-11,307.9638363884459,0,0,Hadronic
8.73158380806644e-12,6.928017738557607e-18,1.165589186164681e-11,307.96385002881414,0,0,Hadronic
8.7548765957724e-12,6.954814648878834e-18,1.1686985163874473e-11,307.96386372194206,0,0,Hadronic
8.778259477754547e-12,6.981715207087553e-18,1.171819872924172e-11,307.9638774680337,0,0,Hadronic
8.801732802488891e-12,7.008719814083836e-18,1.1749533022893264e-11,307.96389126729383,0,0,Hadronic
8.825296919799302e-12,7.035828872318393e-18,1.1780988511772782e-11,307.96390511992826,0,0,Hadronic
8.848952180862877e-12,7.063042785798733e-18,1.1812565664630069e-11,307.96391902614334,0,0,Hadronic
8.872698938214852e-12,7.090361960094821e-18,1.1844264952027573e-11,307.96393298614635,0,0,Hadronic
8.89653754575421e-12,7.11778680234553e-18,1.1876086846347909e-11,307.96394700014525,0,0,Hadronic
8.920468358748612e-12,7.145317721264306e-18,1.1908031821800416e-11,307.963961068349,0,0,Hadronic
8.944491733839982e-12,7.172955127145611e-18,1.1940100354428621e-11,307.96397519096723,0,0,Hadronic
8.968608029049706e-12,7.200699431870886e-18,1.1972292922117182e-11,307.9639893682103,0,0,Hadronic
8.992817603783879e-12,7.228551048914594e-18,1.2004610004598857e-11,307.96400360028974,0,0,Hadronic
9.017120818838741e-12,7.256510393350468e-18,1.203705208346182e-11,307.9640178874174,0,0,Hadronic
9.041518036406136e-12,7.284577881857815e-18,1.2069619642156866e-11,307.9640322298064,0,0,Hadronic
9.066009620078898e-12,7.31275393272767e-18,1.2102313166004676e-11,307.9640466276703,0,0,Hadronic
9.090595934855915e-12,7.341038965868667e-18,1.2135133142202509e-11,307.96406108122375,0,0,Hadronic
9.115277347148134e-12,7.369433402813913e-18,1.2168080059832265e-11,307.9640755906822,0,0,Hadronic
9.140054224783696e-12,7.397937666726918e-18,1.220115440986731e-11,307.9640901562619,0,0,Hadronic
