# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=fm^-4 => code, pFactor=2.612195e-04, eFactor=2.612195e-04
# p (code_units),epsilon (code_units),n,mu,col4,cs2,phase
2.436186e-21,2.825394e-15,1.4438570008752657e-11,307.96507549265976,0,0,Hadronic
2.445609e-21,2.833584e-15,1.448042615263407e-11,307.9650939257647,0,0,Hadronic
2.455068e-21,2.841807e-15,1.4522444187039066e-11,307.96511243016704,0,0,Hadronic
2.464564e-21,2.850061e-15,1.4564624738105804e-11,307.9651310061427,0,0,Hadronic
2.474097e-21,2.858347e-15,1.4606968434393523e-11,307.96514965396847,0,0,Hadronic
2.483666e-21,2.866665e-15,1.464947590689291e-11,307.96516837392227,0,0,Hadronic
2.493273e-21,2.875016e-15,1.4692147789034566e-11,307.965187166283,0,0,Hadronic
2.502917e-21,2.883398e-15,1.4734984716699066e-11,307.9652060313308,0,0,Hadronic
2.512598e-21,2.891814e-15,1.477798732822619e-11,307.9652249693468,0,0,Hadronic
2.522316e-21,2.900261e-15,1.4821156264424195e-11,307.9652439806133,0,0,Hadronic
2.532072e-21,2.908741e-15,1.4864492168579883e-11,307.96526306541347,0,0,Hadronic
2.541866e-21,2.917255e-15,1.4907995686467878e-11,307.96528222403185,0,0,Hadronic
2.551698e-21,2.925801e-15,1.4951667466360032e-11,307.965301456754,0,0,Hadronic
2.561567e-21,2.934380e-15,1.4995508159035662e-11,307.9653207638664,0,0,Hadronic
2.571475e-21,2.942992e-15,1.5039518417790665e-11,307.9653401456569,0,0,Hadronic
2.581422e-21,2.951638e-15,1.5083698898447492e-11,307.9653596024143,0,0,Hadronic
2.591406e-21,2.960317e-15,1.5128050259365165e-11,307.9653791344286,0,0,Hadronic
2.601430e-21,2.969029e-15,1.5172573161448514e-11,307.96539874199084,0,0,Hadronic
2.611492e-21,2.977776e-15,1.5217268268158597e-11,307.96541842539324,0,0,Hadronic
2.621593e-21,2.986556e-15,1.5262136245522334e-11,307.96543818492916,0,0,Hadronic
2.631733e-21,2.995370e-15,1.5307177762142182e-11,307.96545802089315,0,0,Hadronic
2.641912e-21,3.004218e-15,1.5352393489206682e-11,307.9654779335807,0,0,Hadronic
2.652131e-21,3.013100e-15,1.5397784100499772e-11,307.9654979232886,0,0,Hadronic
2.662389e-21,3.022017e-15,1.5443350272411522e-11,307.96551799031477,0,0,Hadronic
2.672687e-21,3.030968e-15,1.548909268394752e-11,307.9655381349583,0,0,Hadronic
2.683024e-21,3.039954e-15,1.5535012016739733e-11,307.9655583575194,0,0,Hadronic
2.693402e-21,3.048975e-15,1.558110895505569e-11,307.9655786582995,0,0,Hadronic
2.703820e-21,3.058030e-15,1.5627384185809737e-11,307.96559903760095,0,0,Hadronic
2.714278e-21,3.067121e-15,1.5673838398572682e-11,307.96561949572765,0,0,Hadronic
2.724777e-21,3.076247e-15,1.5720472285581922e-11,307.9656400329844,0,0,Hadronic
2.735316e-21,3.085408e-15,1.5767286541752224e-11,307.9656606496773,0,0,Hadronic
2.745896e-21,3.094604e-15,1.581428186468586e-11,307.9656813461137,0,0,Hadronic
2.756517e-21,3.103836e-15,1.5861458954682745e-11,307.96570212260184,0,0,Hadronic
2.767179e-21,3.113104e-15,1.590881851475142e-11,307.9657229794514,0,0,Hadronic
2.777882e-21,3.122407e-15,1.5956361250618883e-11,307.96574391697334,0,0,Hadronic
2.788626e-21,3.131747e-15,1.6004087870741698e-11,307.9657649354796,0,0,Hadronic
2.799412e-21,3.141123e-15,1.605199908631636e-11,307.9657860352835,0,0,Hadronic
2.810240e-21,3.150535e-15,1.6100095611289308e-11,307.9658072166993,0,0,Hadronic
2.821110e-21,3.159983e-15,1.614837816236856e-11,307.96582848004283,0,0,Hadronic
2.832022e-21,3.169468e-15,1.6196847459033827e-11,307.965849825631,0,0,Hadronic
2.842976e-21,3.178989e-15,1.624550422354704e-11,307.9658712537818,0,0,Hadronic
2.853972e-21,3.188548e-15,1.629434918096371e-11,307.96589276481467,0,0,Hadronic
2.865011e-21,3.198143e-15,1.634338305914303e-11,307.96591435905015,0,0,Hadronic
2.876093e-21,3.207776e-15,1.6392606588759346e-11,307.9659360368101,0,0,Hadronic
2.887217e-21,3.217446e-15,1.6442020503312778e-11,307.9659577984175,0,0,Hadronic
2.898385e-21,3.227153e-15,1.6491625539139948e-11,307.96597964419675,0,0,Hadronic
2.909595e-21,3.236897e-15,1.6541422435425136e-11,307.96600157447335,0,0,Hadronic
2.920849e-21,3.246680e-15,1.6591411934211578e-11,307.9660235895742,0,0,Hadronic
2.932147e-21,3.256500e-15,1.6641594780411962e-11,307.9660456898273,0,0,Hadronic
2.943488e-21,3.266358e-15,1.6691971721819787e-11,307.96606787556215,0,0,Hadronic
2.954873e-21,3.276255e-15,1.6742543509120713e-11,307.96609014710924,0,0,Hadronic
2.966302e-21,3.286189e-15,1.6793310895903533e-11,307.96611250480055,0,0,Hadronic
2.977776e-21,3.296162e-15,1.684427463867114e-11,307.9661349489693,0,0,Hadronic
2.989294e-21,3.306174e-15,1.6895435496852432e-11,307.96615747994997,0,0,Hadronic
3.000856e-21,3.316224e-15,1.6946794232812896e-11,307.96618009807827,0,0,Hadronic
3.012463e-21,3.326313e-15,1.6998351611866602e-11,307.9662028036913,0,0,Hadronic
3.024115e-21,3.336442e-15,1.7050108402287332e-11,307.96622559712756,0,0,Hadronic
3.035812e-21,3.346609e-15,1.710206537531972e-11,307.9662484787266,0,0,Hadronic
3.047554e-21,3.356816e-15,1.7154223305191465e-11,307.9662714488295,0,0,Hadronic
3.059342e-21,3.367062e-15,1.7206582969124104e-11,307.9662945077785,0,0,Hadronic
3.071175e-21,3.377348e-15,1.7259145147344953e-11,307.9663176559174,0,0,Hadronic
3.083054e-21,3.387674e-15,1.731191062309901e-11,307.96634089359105,0,0,Hadronic
3.094979e-21,3.398039e-15,1.736488018265988e-11,307.9663642211458,0,0,Hadronic
3.106950e-21,3.408445e-15,1.741805461534225e-11,307.9663876389293,0,0,Hadronic
3.118967e-21,3.418891e-15,1.747143471351332e-11,307.96641114729056,0,0,Hadronic
3.131031e-21,3.429377e-15,1.752502127260429e-11,307.96643474657986,0,0,Hadronic
3.143142e-21,3.439904e-15,1.7578815091122833e-11,307.966458437149,0,0,Hadronic
3.155299e-21,3.450472e-15,1.7632816970664682e-11,307.966482219351,0,0,Hadronic
3.167503e-21,3.461080e-15,1.7687027715925365e-11,307.9665060935403,0,0,Hadronic
3.179755e-21,3.471729e-15,1.77414481347125e-11,307.9665300600726,0,0,Hadronic
3.192054e-21,3.482420e-15,1.7796079037957623e-11,307.9665541193053,0,0,Hadronic
3.204401e-21,3.493152e-15,1.785092123972866e-11,307.9665782715967,0,0,Hadronic
3.216795e-21,3.503926e-15,1.7905975557241376e-11,307.96660251730685,0,0,Hadronic
3.229237e-21,3.514741e-15,1.7961242810872218e-11,307.9666268567971,0,0,Hadronic
3.241728e-21,3.525598e-15,1.8016723824170258e-11,307.9666512904302,0,0,Hadronic
3.254266e-21,3.536497e-15,1.807241942386916e-11,307.96667581857025,0,0,Hadronic
3.266853e-21,3.547438e-15,1.812833043990018e-11,307.9667004415828,0,0,Hadronic
3.279489e-21,3.558422e-15,1.8184457705403722e-11,307.9667251598348,0,0,Hadronic
3.292174e-21,3.569448e-15,1.8240802056742494e-11,307.9667499736947,0,0,Hadronic
3.304908e-21,3.580517e-15,1.8297364333513608e-11,307.96677488353214,0,0,Hadronic
3.317691e-21,3.591628e-15,1.835414537856082e-11,307.9667998897185,0,0,Hadronic
3.330523e-21,3.602783e-15,1.8411146037987798e-11,307.96682499262636,0,0,Hadronic
3.343406e-21,3.613980e-15,1.846836716116997e-11,307.9668501926299,0,0,Hadronic
3.356338e-21,3.625221e-15,1.8525809600767518e-11,307.96687549010466,0,0,Hadronic
3.369320e-21,3.636505e-15,1.8583474212738398e-11,307.9669008854276,0,0,Hadronic
3.382352e-21,3.647833e-15,1.864136185635033e-11,307.96692637897723,0,0,Hadronic
3.395434e-21,3.659205e-15,1.869947339419434e-11,307.9669519711335,0,0,Hadronic
3.408568e-21,3.670621e-15,1.8757809692197322e-11,307.96697766227777,0,0,Hadronic
3.421752e-21,3.682081e-15,1.881637161963458e-11,307.96700345279294,0,0,Hadronic
3.434987e-21,3.693585e-15,1.8875160049143422e-11,307.9670293430633,0,0,Hadronic
3.448273e-21,3.705134e-15,1.8934175856735856e-11,307.96705533347483,0,0,Hadronic
3.461610e-21,3.716728e-15,1.8993419921811415e-11,307.96708142441474,0,0,Hadronic
3.475000e-21,3.728366e-15,1.9052893127170567e-11,307.9671076162719,0,0,Hadronic
3.488441e-21,3.740049e-15,1.9112596359027652e-11,307.9671339094367,0,0,Hadronic
3.501934e-21,3.751778e-15,1.9172530507024554e-11,307.96716030430093,0,0,Hadronic
3.515479e-21,3.763552e-15,1.923269646424312e-11,307.967186801258,0,0,Hadronic
3.529076e-21,3.775371e-15,1.9293095127219398e-11,307.9672134007027,0,0,Hadronic
3.542726e-21,3.787236e-15,1.9353727395956075e-11,307.96724010303154,0,0,Hadronic
3.556429e-21,3.799148e-15,1.9414594173936683e-11,307.96726690864244,0,0,Hadronic
3.570185e-21,3.811105e-15,1.9475696368138716e-11,307.9672938179349,0,0,Hadronic
3.583994e-21,3.823108e-15,1.9537034889046777e-11,307.9673208313099,0,0,Hadronic
3.597857e-21,3.835158e-15,1.959861065066685e-11,307.96734794917006,0,0,Hadronic
3.611773e-21,3.847254e-15,1.9660424570539558e-11,307.9673751719195,0,0,Hadronic
3.625743e-21,3.859397e-15,1.9722477569753607e-11,307.96740249996395,0,0,Hadronic
3.639767e-21,3.871588e-15,1.978477057295985e-11,307.96742993371066,0,0,Hadronic
3.653845e-21,3.883825e-15,1.9847304508384813e-11,307.9674574735685,0,0,Hadronic
3.667978e-21,3.896110e-15,1.9910080307844887e-11,307.96748511994787,0,0,Hadronic
3.682165e-21,3.908442e-15,1.9973098906759968e-11,307.9675128732608,0,0,Hadronic
3.696408e-21,3.920822e-15,2.003636124416704e-11,307.9675407339209,0,0,Hadronic
3.710705e-21,3.933249e-15,2.0099868262734876e-11,307.96756870234327,0,0,Hadronic
3.725058e-21,3.945725e-15,2.0163620908777683e-11,307.96759677894494,0,0,Hadronic
3.739466e-21,3.958249e-15,2.0227620132269033e-11,307.96762496414414,0,0,Hadronic
3.753930e-21,3.970822e-15,2.029186688685618e-11,307.96765325836105,0,0,Hadronic
3.768450e-21,3.983443e-15,2.0356362129874537e-11,307.96768166201724,0,0,Hadronic
3.783026e-21,3.996113e-15,2.0421106822361818e-11,307.9677101755361,0,0,Hadronic
3.797658e-21,4.008832e-15,2.0486101929071502e-11,307.9677387993425,0,0,Hadronic
3.812347e-21,4.021600e-15,2.0551348418488765e-11,307.9677675338631,0,0,Hadronic
3.827093e-21,4.034417e-15,2.0616847262843452e-11,307.967796379526,0,0,Hadronic
3.841896e-21,4.047285e-15,2.0682599438125557e-11,307.9678253367612,0,0,Hadronic
3.856756e-21,4.060202e-15,2.074860592409936e-11,307.96785440600024,0,0,Hadronic
3.871673e-21,4.073168e-15,2.0814867704317656e-11,307.96788358767634,0,0,Hadronic
3.886649e-21,4.086185e-15,2.0881385766137182e-11,307.9679128822243,0,0,Hadronic
3.901682e-21,4.099253e-15,2.0948161100732893e-11,307.96794229008077,0,0,Hadronic
3.916773e-21,4.112371e-15,2.1015194703112387e-11,307.9679718116841,0,0,Hadronic
3.931923e-21,4.125539e-15,2.108248757213162e-11,307.96800144747414,0,0,Hadronic
3.947131e-21,4.138759e-15,2.115004071050885e-11,307.9680311978925,0,0,Hadronic
3.962398e-21,4.152030e-15,2.121785512483998e-11,307.9680610633827,0,0,Hadronic
3.977724e-21,4.165352e-15,2.1285931825613937e-11,307.9680910443898,0,0,Hadronic
3.993110e-21,4.178725e-15,2.1354271827226824e-11,307.9681211413605,0,0,Hadronic
4.008555e-21,4.192150e-15,2.1422876147997906e-11,307.96815135474344,0,0,Hadronic
4.024059e-21,4.205628e-15,2.1491745810184436e-11,307.96818168498885,0,0,Hadronic
4.039624e-21,4.219157e-15,2.156088183999644e-11,307.9682121325488,0,0,Hadronic
4.055249e-21,4.232739e-15,2.1630285267612936e-11,307.9682426978769,0,0,Hadronic
4.070934e-21,4.246373e-15,2.1699957127196262e-11,307.96827338142884,0,0,Hadronic
4.086680e-21,4.260060e-15,2.1769898456908455e-11,307.9683041836618,0,0,Hadronic
4.102487e-21,4.273800e-15,2.1840110298925713e-11,307.96833510503484,0,0,Hadronic
4.118355e-21,4.287593e-15,2.1910593699455142e-11,307.9683661460088,0,0,Hadronic
4.134285e-21,4.301439e-15,2.198134970874864e-11,307.9683973070463,0,0,Hadronic
4.150276e-21,4.315339e-15,2.205237938112035e-11,307.9684285886117,0,0,Hadronic
4.166329e-21,4.329293e-15,2.2123683774961415e-11,307.96845999117124,0,0,Hadronic
4.182443e-21,4.343300e-15,2.219526395275547e-11,307.96849151519285,0,0,Hadronic
4.198621e-21,4.357362e-15,2.226712098109526e-11,307.9685231611464,0,0,Hadronic
